,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,observing,describing,accepting,acting,age,gender,age group
180,Very often or always true (5),Often true (4),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Often true (4),Never or very rarely true (1),Never or very rarely true (1),Very often or always true (5),Sometimes true (3),Often true (4),Never or very rarely true (1),Sometimes true (3),Often true (4),Never or very rarely true (1),Never or very rarely true (1),Never or very rarely true (1),Never or very rarely true (1),Never or very rarely true (1),Rarely true (2),Very often or always true (5),Rarely true (2),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),Never or very rarely true (1),Never or very rarely true (1),Never or very rarely true (1),Often true (4),Very often or always true (5),Never or very rarely true (1),Never or very rarely true (1),Often true (4),Often true (4),Never or very rarely true (1),Never or very rarely true (1),Very often or always true (5),Never or very rarely true (1),Often true (4),4.2,2.9,1.6,1.7,19,male,early adulthood
181,Often true (4),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Sometimes true (3),Never or very rarely true (1),Often true (4),Very often or always true (5),Often true (4),Often true (4),Often true (4),Often true (4),Very often or always true (5),Very often or always true (5),Rarely true (2),Very often or always true (5),Sometimes true (3),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Very often or always true (5),,Rarely true (2),Very often or always true (5),Very often or always true (5),Often true (4),Sometimes true (3),Very often or always true (5),Very often or always true (5),Sometimes true (3),Often true (4),3.8,4.6,4.1,3.5,43,female,early middle age
182,Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Often true (4),Rarely true (2),Sometimes true (3),Rarely true (2),Sometimes true (3),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Sometimes true (3),Rarely true (2),Sometimes true (3),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),2.3,2.4,2.7,2.2,48,male,late middle age
183,Very often or always true (5),Very often or always true (5),Often true (4),Often true (4),Very often or always true (5),Very often or always true (5),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Often true (4),Very often or always true (5),Very often or always true (5),Often true (4),Rarely true (2),Very often or always true (5),Often true (4),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),Often true (4),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),4.8,4.2,4.6,3.0,41,female,early middle age
184,Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Rarely true (2),Very often or always true (5),Often true (4),Often true (4),Rarely true (2),Sometimes true (3),Sometimes true (3),Very often or always true (5),Never or very rarely true (1),Often true (4),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Often true (4),Sometimes true (3),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Often true (4),3.9,4.4,4.8,3.6,53,male,late middle age
185,Sometimes true (3),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Often true (4),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Often true (4),Rarely true (2),Never or very rarely true (1),Often true (4),Often true (4),Often true (4),Sometimes true (3),Often true (4),Very often or always true (5),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),3.5,2.4,3.7,2.5,33,male,early adulthood
186,Often true (4),Very often or always true (5),Sometimes true (3),Rarely true (2),Sometimes true (3),Very often or always true (5),Sometimes true (3),Sometimes true (3),Often true (4),Very often or always true (5),Rarely true (2),Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Often true (4),Never or very rarely true (1),Rarely true (2),Often true (4),Often true (4),,,,,,,,,,,,,,,Sometimes true (3),Often true (4),Rarely true (2),Often true (4),2.4,,,,51,female,late middle age
187,Rarely true (2),Often true (4),Rarely true (2),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Often true (4),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Often true (4),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Rarely true (2),Rarely true (2),Rarely true (2),Often true (4),Never or very rarely true (1),Often true (4),3.2,3.2,1.7,1.9,26,female,early adulthood
188,Often true (4),Often true (4),Sometimes true (3),Often true (4),Very often or always true (5),Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Often true (4),Very often or always true (5),Very often or always true (5),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Very often or always true (5),Very often or always true (5),Often true (4),Often true (4),Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Sometimes true (3),Often true (4),Very often or always true (5),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),4.5,4.2,3.8,3.6,42,female,early middle age
189,Often true (4),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Often true (4),Often true (4),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Often true (4),Often true (4),Often true (4),3.9,4.5,4.7,3.9,44,female,early middle age
190,Sometimes true (3),Often true (4),Rarely true (2),Very often or always true (5),Rarely true (2),Very often or always true (5),Often true (4),Often true (4),Rarely true (2),Very often or always true (5),Sometimes true (3),Very often or always true (5),Rarely true (2),Very often or always true (5),Rarely true (2),Very often or always true (5),Rarely true (2),Very often or always true (5),Sometimes true (3),Often true (4),Sometimes true (3),Very often or always true (5),Sometimes true (3),Sometimes true (3),Often true (4),Very often or always true (5),Rarely true (2),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Rarely true (2),Very often or always true (5),Rarely true (2),Rarely true (2),Very often or always true (5),3.2,4.9,4.6,2.8,51,male,late middle age
191,Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Sometimes true (3),Often true (4),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Rarely true (2),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Often true (4),Often true (4),Sometimes true (3),Often true (4),Rarely true (2),Very often or always true (5),Very often or always true (5),Often true (4),Often true (4),Very often or always true (5),Very often or always true (5),Sometimes true (3),Often true (4),Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),3.7,3.8,4.1,3.5,59,male,late middle age
192,Sometimes true (3),Very often or always true (5),Sometimes true (3),Very often or always true (5),Sometimes true (3),Very often or always true (5),Sometimes true (3),Rarely true (2),Rarely true (2),Very often or always true (5),Very often or always true (5),Very often or always true (5),Rarely true (2),Very often or always true (5),Often true (4),Very often or always true (5),Rarely true (2),Very often or always true (5),Sometimes true (3),Very often or always true (5),Often true (4),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Rarely true (2),Very often or always true (5),Very often or always true (5),Sometimes true (3),Sometimes true (3),Very often or always true (5),Very often or always true (5),Very often or always true (5),Rarely true (2),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),3.2,5.0,4.6,3.1,42,female,early middle age
193,Often true (4),Sometimes true (3),Sometimes true (3),Very often or always true (5),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),Very often or always true (5),Often true (4),Rarely true (2),Rarely true (2),Rarely true (2),,Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Rarely true (2),Sometimes true (3),Rarely true (2),2.8,2.8,,2.8,40,male,early middle age
194,Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Often true (4),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Often true (4),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),3.5,3.4,3.3,3.1,34,female,early adulthood
195,Often true (4),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Very often or always true (5),Rarely true (2),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Often true (4),Very often or always true (5),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Very often or always true (5),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),3.6,3.5,3.8,4.4,54,male,late middle age
196,Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Very often or always true (5),Very often or always true (5),Rarely true (2),Sometimes true (3),Often true (4),Rarely true (2),Very often or always true (5),Very often or always true (5),Often true (4),Often true (4),Often true (4),Very often or always true (5),Very often or always true (5),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Sometimes true (3),Very often or always true (5),Very often or always true (5),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Very often or always true (5),Rarely true (2),Often true (4),Often true (4),Often true (4),Sometimes true (3),4.3,4.2,3.7,3.4,54,male,late middle age
197,Sometimes true (3),Very often or always true (5),Sometimes true (3),Often true (4),Rarely true (2),Very often or always true (5),Often true (4),Rarely true (2),Never or very rarely true (1),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Very often or always true (5),Very often or always true (5),Often true (4),Rarely true (2),Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),Very often or always true (5),Often true (4),Often true (4),Often true (4),Never or very rarely true (1),Rarely true (2),Very often or always true (5),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Rarely true (2),Often true (4),Often true (4),2.7,4.2,3.8,3.6,49,male,late middle age
198,Rarely true (2),Rarely true (2),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Very often or always true (5),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Very often or always true (5),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Very often or always true (5),Sometimes true (3),Rarely true (2),Rarely true (2),Very often or always true (5),Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),Rarely true (2),Sometimes true (3),Rarely true (2),2.6,3.6,3.9,2.5,53,male,late middle age
199,Rarely true (2),Often true (4),Rarely true (2),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Sometimes true (3),Rarely true (2),Sometimes true (3),Very often or always true (5),Sometimes true (3),Often true (4),Sometimes true (3),Very often or always true (5),Sometimes true (3),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),2.8,3.8,4.0,2.8,51,female,late middle age
200,Very often or always true (5),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Very often or always true (5),Often true (4),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),,Sometimes true (3),Sometimes true (3),Very often or always true (5),Very often or always true (5),Often true (4),Often true (4),Often true (4),Often true (4),Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),4.2,,3.6,3.6,55,male,late middle age
201,Very often or always true (5),Often true (4),Never or very rarely true (1),Never or very rarely true (1),Sometimes true (3),Often true (4),Often true (4),Rarely true (2),Very often or always true (5),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Very often or always true (5),Often true (4),Very often or always true (5),Never or very rarely true (1),Rarely true (2),Often true (4),Very often or always true (5),Never or very rarely true (1),Often true (4),Very often or always true (5),Often true (4),Never or very rarely true (1),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Never or very rarely true (1),Sometimes true (3),Rarely true (2),Sometimes true (3),Never or very rarely true (1),Often true (4),Often true (4),Rarely true (2),Never or very rarely true (1),Very often or always true (5),Sometimes true (3),Rarely true (2),3.7,4.0,1.1,3.0,17,female,adolescence
202,Often true (4),Often true (4),Never or very rarely true (1),Often true (4),Often true (4),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Often true (4),Often true (4),Rarely true (2),Very often or always true (5),Often true (4),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Very often or always true (5),Often true (4),Rarely true (2),Never or very rarely true (1),Often true (4),Often true (4),Never or very rarely true (1),Never or very rarely true (1),Often true (4),Often true (4),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Rarely true (2),Rarely true (2),Often true (4),Very often or always true (5),Rarely true (2),Often true (4),4.1,3.6,2.0,2.2,23,male,early adulthood
203,Often true (4),Often true (4),Often true (4),Sometimes true (3),Often true (4),Very often or always true (5),Sometimes true (3),Never or very rarely true (1),Sometimes true (3),Often true (4),Never or very rarely true (1),Sometimes true (3),Often true (4),Very often or always true (5),Very often or always true (5),Sometimes true (3),,Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),Very often or always true (5),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),3.8,4.8,3.2,3.3,66,male,late adulthood
204,Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Never or very rarely true (1),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Rarely true (2),3.4,3.8,2.9,2.7,58,female,late middle age
205,Often true (4),Sometimes true (3),Often true (4),Very often or always true (5),Very often or always true (5),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Very often or always true (5),Often true (4),Often true (4),Often true (4),Very often or always true (5),Sometimes true (3),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),Very often or always true (5),Often true (4),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Often true (4),Often true (4),Often true (4),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),4.1,3.9,4.8,3.9,60,female,late middle age
206,Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Never or very rarely true (1),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Very often or always true (5),3.3,3.8,2.9,3.0,25,male,early adulthood
207,Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Rarely true (2),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Often true (4),Rarely true (2),Never or very rarely true (1),Very often or always true (5),Often true (4),Sometimes true (3),Rarely true (2),Very often or always true (5),Often true (4),Never or very rarely true (1),Rarely true (2),Often true (4),Very often or always true (5),Sometimes true (3),Sometimes true (3),Often true (4),Rarely true (2),Sometimes true (3),Rarely true (2),Very often or always true (5),Rarely true (2),Rarely true (2),Sometimes true (3),Very often or always true (5),Rarely true (2),Very often or always true (5),Often true (4),Rarely true (2),Often true (4),2.8,4.4,2.8,3.1,61,male,late middle age
208,Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Rarely true (2),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Rarely true (2),Often true (4),Often true (4),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),4.9,5.0,3.2,3.7,23,male,early adulthood
209,Very often or always true (5),Rarely true (2),Rarely true (2),Rarely true (2),Often true (4),Rarely true (2),Never or very rarely true (1),Never or very rarely true (1),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Never or very rarely true (1),Very often or always true (5),Never or very rarely true (1),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Never or very rarely true (1),Sometimes true (3),Often true (4),Never or very rarely true (1),Rarely true (2),Very often or always true (5),Sometimes true (3),Never or very rarely true (1),Never or very rarely true (1),Rarely true (2),Often true (4),Rarely true (2),Never or very rarely true (1),Very often or always true (5),Sometimes true (3),Rarely true (2),Often true (4),Very often or always true (5),Sometimes true (3),Rarely true (2),3.8,2.5,1.7,2.3,19,male,early adulthood
210,Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Rarely true (2),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Rarely true (2),Rarely true (2),Sometimes true (3),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Rarely true (2),2.8,2.8,2.9,3.3,55,female,late middle age
211,Rarely true (2),Very often or always true (5),Rarely true (2),Rarely true (2),Never or very rarely true (1),Often true (4),Sometimes true (3),Often true (4),Never or very rarely true (1),Very often or always true (5),Rarely true (2),Sometimes true (3),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Sometimes true (3),Sometimes true (3),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),Often true (4),Rarely true (2),Very often or always true (5),Very often or always true (5),Very often or always true (5),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Often true (4),3.5,4.9,4.0,3.0,50,female,late middle age
212,Sometimes true (3),Never or very rarely true (1),Rarely true (2),Often true (4),Sometimes true (3),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Sometimes true (3),Rarely true (2),Rarely true (2),Never or very rarely true (1),Often true (4),,Sometimes true (3),Sometimes true (3),Never or very rarely true (1),Never or very rarely true (1),Sometimes true (3),Never or very rarely true (1),Sometimes true (3),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Very often or always true (5),Sometimes true (3),Often true (4),Rarely true (2),Never or very rarely true (1),Often true (4),Sometimes true (3),Very often or always true (5),Sometimes true (3),Very often or always true (5),3.3,,2.6,2.5,24,male,early adulthood
213,Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Very often or always true (5),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Sometimes true (3),Often true (4),3.6,3.5,3.9,3.7,47,male,late middle age
214,Sometimes true (3),Sometimes true (3),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Rarely true (2),Sometimes true (3),Often true (4),Very often or always true (5),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Very often or always true (5),Sometimes true (3),Rarely true (2),Sometimes true (3),Very often or always true (5),Rarely true (2),Often true (4),Sometimes true (3),2.6,3.0,4.3,3.4,17,male,adolescence
215,Often true (4),Very often or always true (5),Often true (4),Rarely true (2),Often true (4),Very often or always true (5),Sometimes true (3),Never or very rarely true (1),Sometimes true (3),Very often or always true (5),Very often or always true (5),Sometimes true (3),Often true (4),Very often or always true (5),Very often or always true (5),Often true (4),Often true (4),Very often or always true (5),Sometimes true (3),Never or very rarely true (1),Very often or always true (5),Often true (4),Often true (4),Rarely true (2),Often true (4),Very often or always true (5),Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Often true (4),Often true (4),Very often or always true (5),4.2,4.9,3.0,3.8,24,female,early adulthood
216,Very often or always true (5),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Rarely true (2),Often true (4),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Very often or always true (5),Very often or always true (5),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Very often or always true (5),Often true (4),Often true (4),Often true (4),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Very often or always true (5),3.9,3.0,3.3,3.7,27,female,early adulthood
217,Rarely true (2),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Rarely true (2),Rarely true (2),Never or very rarely true (1),Often true (4),Sometimes true (3),Often true (4),Never or very rarely true (1),Rarely true (2),Rarely true (2),Often true (4),Never or very rarely true (1),Never or very rarely true (1),Often true (4),Often true (4),Never or very rarely true (1),Often true (4),Often true (4),Often true (4),Very often or always true (5),Rarely true (2),,Sometimes true (3),Very often or always true (5),Often true (4),Very often or always true (5),Rarely true (2),,Sometimes true (3),Never or very rarely true (1),Rarely true (2),Never or very rarely true (1),Rarely true (2),Rarely true (2),Never or very rarely true (1),Rarely true (2),2.3,3.1,2.8,,44,male,early middle age
218,Sometimes true (3),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Very often or always true (5),Rarely true (2),Sometimes true (3),Sometimes true (3),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Rarely true (2),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),2.7,2.9,2.6,3.0,43,male,early middle age
219,Often true (4),Often true (4),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Rarely true (2),Often true (4),Often true (4),Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Rarely true (2),Very often or always true (5),Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Often true (4),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Sometimes true (3),Often true (4),3.6,4.2,3.7,3.8,57,male,late middle age
220,Sometimes true (3),Often true (4),Rarely true (2),Sometimes true (3),Rarely true (2),Very often or always true (5),Rarely true (2),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),,Very often or always true (5),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Very often or always true (5),2.9,4.2,2.9,2.8,63,male,late middle age
